congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,House,1,2019-01-03,1,2,220,210,-0.107,0.471,0.706,-0.198,-20.459,,Pelosi,,Election of the Speaker,
116,House,2,2019-01-03,1,3,230,197,0.068,0.046,0.714,-0.082,-0.524,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes",On Motion to Table the Motion to Refer,
116,House,3,2019-01-03,1,4,233,197,0.068,0.046,0.714,-0.082,-0.524,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Ordering the Previous Question,
116,House,4,2019-01-03,1,5,197,232,0.067,0.038,-0.714,0.074,-0.516,HRES5,Failed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Motion to Commit with Instructions,
116,House,5,2019-01-03,1,6,234,194,0.068,0.046,0.714,-0.082,-0.524,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Agreeing to the Resolution,
116,House,6,2019-01-03,1,7,234,197,0.191,0.982,0.341,-0.195,-22.789,HRES6,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title I of the Resolution,
116,House,7,2019-01-03,1,8,197,233,0.068,0.046,-0.714,0.082,-0.524,HJRES1,Failed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,8,2019-01-03,1,9,239,192,0.219,-0.062,0.677,0.502,-8.482,HJRES1,Passed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Passage,
116,House,9,2019-01-03,1,10,199,232,0.14,-0.979,-0.665,-0.408,-8.859,HR21,Failed,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,10,2019-01-03,1,11,241,190,0.209,0.1,0.682,0.87,-14.131,HR21,Passed,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,11,2019-01-04,1,12,418,12,0.751,-0.661,0.38,-0.065,-35.06,HRES6,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title II of the Resolution,
116,House,12,2019-01-08,1,13,401,17,0.881,0.473,1.287,-1.084,-39.452,HR269,Passed,Pandemic and All-Hazards Preparedness and Advancing Innovation Act,On Motion to Suspend the Rules and Pass,
116,House,13,2019-01-08,1,14,414,3,0.0,0.0,0.0,0.0,0.0,HR251,Passed,Chemical Facility Anti-Terrorism Standards Program Extension Act,On Motion to Suspend the Rules and Pass,
116,House,14,2019-01-08,1,15,235,161,-0.389,0.921,0.111,0.324,-165.588,,Passed,,On Approving the Journal,
